quiz,midterm exam,sleeping time,breakfast,transportation means,last exam
83.1,71.7,8.7,1,2,80.1
62.7,72.1,5.9,0,1,64.2
77.3,73.1,7.3,0,0,78.9
88.1,86.4,8.4,1,1,95.6
58.9,92.4,6.8,1,0,76.5
76.8,75.1,6.5,1,2,70.6
77.6,90.9,7.8,1,0,88
82.8,81.5,8.8,1,0,88.3
62.6,78.5,6.1,0,2,70.2
61.8,77.5,7.3,0,2,64.7
80.2,89,5.4,1,2,77.9
78,83.9,7,1,2,73.4
77.5,100,7.5,1,2,91.2
78.5,69.8,6.5,1,1,77
68.2,86.2,7,1,0,79.3
77.3,73.6,5.8,1,0,73
77.9,69.6,7.6,0,0,72.5
67.9,79.9,8.8,0,0,79.9
93.7,81.6,6.2,0,2,77.2
79.7,100,6.8,1,0,90.7
63.1,77.8,8.1,0,0,80.7
81.6,66.4,9,1,0,81.1
65.3,83.3,5.7,1,2,68.9
82.9,55.1,7.3,1,0,75.9
86.6,78.9,7.8,0,0,80.2
66.8,80.2,7.4,0,2,76.7
84.6,89.5,4.5,1,2,83.9
79.1,91.7,8.1,0,0,86
83.2,74,9.3,0,2,76.8
94,78.2,7.6,0,0,84.9
72.5,70.8,6.3,0,1,70
67.5,66.5,6.9,0,0,70.5
66.1,83.7,9.6,1,1,86.3
66.8,64.7,8.6,1,1,70.7
74.2,75,8.3,1,2,80.3
78.4,68.1,7.9,0,0,78.3
77.8,86.6,6.7,1,2,78.6
83.3,100,7.3,1,0,89.6
75.1,64.4,7.4,0,1,72
89.5,57.8,8.2,1,2,73.1
72.4,78.5,9.3,0,1,83
100,80.2,8.8,1,2,87.4
81.3,82.6,5.8,1,2,79.8
66.4,74.6,7.8,1,2,72.7
64.3,77.6,8.4,0,0,73.8
79.8,84.4,8.2,1,0,86.9
72.8,92.5,6.7,0,2,80.8
82.1,56.5,10,1,1,75.9
79.7,75.6,6,1,2,73.8
74.3,82.6,6.2,0,1,73.9
66.5,69,7.8,1,1,73.7
59.9,100,10,1,2,82.9
70.5,72.4,6.5,1,0,69.9
83.6,79.5,7.2,0,2,74.4
77.1,86.7,8.8,1,0,93
62.5,72.9,7.5,1,0,74.9
76.7,57.8,7.1,1,0,73.7
78.9,74.9,8.2,1,1,81
66.2,92.4,7.8,1,0,83.9
76.5,76,8.7,1,2,78.2
75.6,69.8,9,0,1,78.9
63.6,91.1,7.9,1,2,78.9
78.6,76,7.9,1,2,75
80.6,73.9,7.8,1,2,79.1
85.8,81.8,8.1,1,0,80.8
85.5,89.2,7.6,0,0,88.3
61.2,100,7.5,1,1,79.3
65.6,89.9,8.9,1,0,84.8
80.2,93.9,9.3,0,2,82.7
80.1,73.9,5.7,1,2,74
80.2,67.7,7.5,1,0,80.9
100,80.7,6.7,0,1,91.2
80.7,81.3,7.1,0,2,72.4
86.4,67.1,8,1,0,85.3
84.5,77.9,8.3,1,1,86
81.5,84.8,7.4,0,2,77.9
71.8,84.3,5.2,1,0,80.2
82.6,86.1,6.3,1,2,80.4
67.3,83.5,8.6,1,0,84.6
72.6,73.9,4.2,1,2,65.1
70.1,73.8,8.9,1,0,78.5
75.8,65.6,8.1,1,2,76.7
98.1,100,9.1,0,2,99.9
56.3,80.2,7.3,1,1,73
81.9,77.3,5,1,2,66.4
58.9,68.9,8,0,0,68.5
70.3,100,9,1,1,90.3
85.9,67.1,8.6,0,2,75.7
75.6,74.9,6.7,1,2,75.6
64.2,85,7.6,1,0,78.5
67.8,87.2,6.9,1,1,82.3
81.8,91.5,6.5,0,1,79.9
67.7,100,8.6,0,2,86.1
77.2,86.1,6.1,1,1,86.1
75.5,67.3,6.4,1,0,72.2
68.5,76.9,6.2,1,1,71.8
96.4,83.7,5.7,0,0,86.7
81.3,100,7.7,0,0,86.3
54.7,63.2,8.9,1,2,64.5
76.9,94.4,7.3,1,2,87.4
68.4,82.2,5.7,0,0,75.8
83.5,90.1,8.5,1,0,97.4
67.1,78.8,9.5,1,0,82.9
73.9,69.9,6.7,0,0,71.1
80,89,6.9,1,0,86.6
83.7,87.9,8.1,1,0,89.4
63,91.7,9.4,1,0,85.3
71.7,79.8,6.9,1,1,78.3
70.3,72.8,5.9,1,2,67.2
68.5,61.3,8.3,0,0,71.3
92.7,89.8,8.5,1,1,89.7
79,85.1,7.5,1,2,79.5
62.4,68.4,6.8,1,0,70.6
84.2,73.5,8.7,0,0,75.7
96.2,74.4,8.1,1,0,91.8
85.3,62.2,6.6,1,0,71
59.8,70.2,7.6,1,0,74.1
70.2,66.4,5.9,1,2,63.5
87.7,75.1,8.3,1,2,81.5
67.9,71.1,7.2,0,2,69.6
79.4,60.5,7,1,0,81.5
82.7,100,7.5,1,2,89.4
65.7,95,7.5,1,2,74.5
74.4,70.7,8.6,1,1,82
42.6,83.3,8.2,1,0,71.1
64.8,85,7.3,1,1,78.7
72.5,94.3,8.4,0,1,86.2
62.5,70.2,8,1,2,63.4
91.3,93.1,7,1,2,88.8
60.7,73.4,7.4,0,0,69.1
70.6,64,7.3,0,1,73.1
76.3,88.7,8.1,0,0,86.4
89.4,95.5,7.1,1,2,84.2
60.6,100,7,1,0,87.1
86.6,65.6,9.9,0,0,84
75.1,88.4,8.6,0,2,76
65.2,75.1,6.6,1,1,73.4
79.6,89.4,8.2,1,0,92.1
77,62.4,7.6,0,1,68.4
69,64.8,8,1,2,74.6
75.7,70.7,7.7,1,0,74.3
71.1,80.9,8.9,1,0,81.3
76.1,72.3,7.9,1,2,73.4
81.6,87.9,7.4,1,0,91.8
90.9,92.3,8.8,0,0,91.3
62.6,87.2,7.8,0,0,74
96.3,99.4,7.6,1,0,99.9
55.5,85,7.9,1,2,74.9
73.5,65.4,7.4,1,0,77.3
80.9,96.4,7.5,1,0,90.1
77.8,72.7,6.8,0,0,76.6
68.8,90.9,6.6,1,0,80.1
72.9,98.9,6.3,1,0,91.3
70.1,85.5,5.8,1,2,78.3
69.1,62,6.4,1,2,69.6
83.5,69,7.3,1,0,83
78.6,95.9,7.6,1,0,91.6
68.1,78,7.2,1,0,74
84,81,4.7,1,0,82.2
78.1,89.1,9.4,0,2,84
83.1,88.4,8.8,1,0,95
81.3,83.3,8,1,0,89.3
66.7,77.5,9.8,1,2,79.9
69.4,76.2,6.3,1,0,70.9
82.5,90.3,9.8,1,2,89.4
81.1,86.6,6.3,1,2,79.1
74.8,76.9,7.8,1,0,82
76.2,93,6,0,2,76.4
87.8,78.5,7.5,1,2,81.7
69.1,69.8,8,1,0,77.8
80.5,70.9,7.3,1,2,74.9
73,68.3,8.4,1,1,77.6
72.8,76.7,7.6,1,1,74.5
86,94.8,6.9,1,2,84.6
83.3,70.3,6.8,1,1,81
83.1,82.3,8.5,0,0,81.4
88.1,72.1,6.7,1,2,82.2
75.2,76.9,8.6,1,0,86
81.8,61.9,9,1,0,79.6
71.9,77.4,5.5,0,2,77.7
78.2,77.7,8.9,1,2,84.8
73.7,86.5,10,1,0,86.2
76,82.7,7.8,1,2,82.3
81,65.6,8.2,1,0,80.3
66.8,93,8.7,0,0,81.1
95.9,82.5,7.2,1,0,87.5
64.9,82.4,7.7,1,0,82.4
62.9,79.9,5.9,1,0,72.2
86.6,73.8,7.7,0,2,77.2
82.9,82.6,8.1,1,0,84.6
81.2,85.7,8.1,1,0,85.8
81.3,59,8.8,1,2,74.3
74.9,73.5,6.6,1,2,74.7
66,76.9,6.9,1,0,68.1
75.8,83.1,9.8,1,0,88.1
68.2,94.3,7.3,0,0,79.4
84.8,70.7,7.7,0,2,79.9
73.5,74,7.4,1,1,86.7
66.7,73.8,6.5,0,2,66.2
71.8,70.4,9.4,1,0,75.6
79.1,75.8,6.9,0,2,74.1
69.4,89.2,6.1,0,0,77.1
66.8,67.4,7,0,0,75.5
77.4,85.1,5.1,1,0,85.2
77.4,59.6,6.7,1,2,71.8
69.9,73.3,6.3,1,2,69.2
70.3,76,8.2,1,2,78
77.3,100,6.7,1,2,86.1
60.5,76.7,8.6,1,0,77.7
60.9,53.6,9.2,1,0,64.5
67.8,56,8.4,1,2,70.6
72.9,80.4,7.2,1,2,77.1
78.1,87.4,7.7,1,2,82.2
89.8,84.5,5.7,1,0,84.2
83.6,82,7.3,1,2,79.5
73.4,93.9,6.5,1,0,85.8
74.8,73.5,8.3,0,2,68.8
65,90.7,10,1,0,89.7
74.8,60.4,8.1,0,1,68.1
72.1,69.1,5.1,1,0,65.5
78.2,58.3,7.1,1,2,75.2
66.7,76.7,7.6,1,2,71.1
80.2,79.4,7.6,0,0,78.9
90.3,81.4,6.6,0,0,87.3
73.9,80.7,7.8,0,2,81
79,68.9,6,1,0,71.6
81.9,77.7,6.4,1,0,78.7
71,62,8.3,1,1,71.1
77.2,96.4,6.3,1,2,85.8
75.1,76.4,8.1,1,0,86.8
76,74.1,5.9,1,2,69.5
67.3,99.1,9.6,0,2,88
75.2,65.1,6.6,0,1,68.1
80,66.5,7.2,1,2,75.1
89.5,66.8,7.9,1,1,78.5
84.6,79.2,6.8,1,0,83.8
96.5,85.2,7.7,1,2,88.7
67.3,88.9,8.2,1,0,82.9
83.7,100,8.7,1,0,96.9
76.8,53,8.4,0,2,63.8
96.9,87.3,7.3,1,0,90.6
66.9,73.3,7.3,1,2,73.1
66.6,73,10,0,1,80.9
69,72.6,8.6,1,0,78.8
53.8,69.1,6.4,1,0,68.4
69.7,100,7.6,1,2,86.4
67.4,90.1,7.1,1,1,83.7
76.5,80.3,7.3,1,2,75.5
78.4,96.2,6,1,2,80.6
93.8,61.8,7,1,0,79.2
84.5,64,9.7,0,0,86.5
69.2,53.9,8.2,1,2,68.2
66,71.6,4.5,1,0,70.5
79.9,81.9,9,0,1,84.8
61.8,81.2,8.8,1,0,75.9
93.3,81.8,7.1,1,2,91
86.8,63.1,8.4,1,2,79.1
70.3,89.6,6.5,1,2,80.1
57.9,82.9,6.9,1,2,65.9
88.5,88.8,9.3,1,1,95.9
73.9,57.3,7.2,1,1,69.7
87.4,83.7,5.3,1,1,79
59.1,65.7,7.4,1,1,65.9
69,75.2,7.4,1,2,69.7
75.1,86.4,8.9,0,2,76.6
75.5,81.1,7.5,1,0,82.8
70.5,69.8,7,1,0,73.9
81.2,80.1,8.8,1,0,88
64.3,61.6,7.6,1,0,75.7
73.6,93.8,6.6,1,0,84.8
76.2,77.5,8.9,1,0,77.5
80.1,93.4,7.7,1,1,88.2
82.1,73.7,7.5,1,1,84.9
63.8,73.7,7.7,1,0,75.2
59.7,70.8,6.2,1,0,74.2
87.8,90.5,6.9,1,1,90.4
78.3,71.5,7.5,1,1,73.4
67.5,87.7,7.3,0,1,78
90.5,75.4,9,0,1,86.3
76.2,56.3,7.8,0,1,72.7
86.8,73.2,8.5,1,0,91.5
75.7,65.9,7.5,1,0,79.4
95.6,80.4,8.8,1,2,90.3
92.6,65.7,8,0,0,83.3
72.5,91.1,7.5,1,1,84
84.7,78.9,7.5,1,2,77
81.5,77.9,6.4,1,2,77.6
88.7,87.9,8.1,1,0,92.9
65.4,91.6,7.5,0,2,72.1
81.9,79.8,6.9,1,2,83.4
85.6,70.7,8.8,0,1,84.2
57.4,58.7,6,1,0,59.3
63.2,71.8,7,1,1,76.1
54.6,72.6,8.7,1,1,71.4
72.3,81.3,7.9,1,2,75.9
82.2,75.9,7.4,0,2,79.3
90,88.3,7.8,1,2,87.8
75.7,72.6,7.7,1,0,85.5
91.3,79.3,5.7,0,0,79
61.2,94.2,7.1,1,1,75.1
58,84.1,9.4,1,2,75.9
74.4,79.3,6.7,1,0,82.3
78.8,72.8,7.1,1,2,73.1
74.7,72.4,6.9,0,0,70.5
54.3,69.8,7.4,1,0,70.1
74.1,73.5,6.8,1,2,69.3
62,89.1,8.1,1,0,82.5
81.7,77.3,7.7,1,0,83.1
78.7,63.8,8.4,1,0,80.3
65.6,100,6.2,0,2,72.6
69.9,83.8,7.1,1,0,84.6
64.4,63.1,7.2,1,0,69.9
74.4,74.7,8,1,0,83
84.6,81.3,6.5,1,0,87.3
65.1,100,8.6,0,0,81.8
80,66.7,8.9,0,0,81.2
69.7,91.7,6.3,0,0,74.9
67.1,96.8,6.9,1,1,79.3
73.9,72.5,6.9,1,0,83.2
64.6,76.7,10,1,0,84.9
69.5,67.6,7,0,0,77
63,77.6,9.5,0,0,76.1
94.6,79.6,6,1,2,83
75.4,87.9,6.3,1,0,84.5
68,93.1,6.7,1,0,82.7
77.1,71,6.5,1,0,75
73.9,56.4,7.2,1,2,64.8
72.8,79.7,6.6,0,0,77
81.1,83.5,6.5,0,2,73.7
82.6,83,8.9,0,0,82.7
69.7,76.1,9,0,0,79.4
69.2,81.5,8.6,0,2,75.3
72.2,98.2,8.1,1,2,88.2
52,84.6,7.6,1,2,69.6
59.8,75.5,6.9,1,0,71.2
88.7,74,6.4,1,2,80
91.4,78,7.9,1,0,86.2
72.5,99.6,6.1,0,2,77.1
80.8,77.8,6.3,1,2,75.2
78.1,79.8,8.9,1,0,85.3
100,74.2,9.8,1,2,95.6
86.2,93.2,8,1,2,84.6
73.7,100,8.8,0,0,93
65.4,85.4,7.2,1,1,81
58.9,81,5.9,0,1,73.5
77,80.4,8.2,1,0,93.9
67.4,51.4,8.2,1,1,72.2
60.8,88.9,7.6,0,0,79.8
68.5,81.6,7.2,0,2,68.5
64.2,85.1,8.7,0,1,74.5
91.9,71.5,6.3,0,2,77
83.8,75.4,6.6,1,0,76.7
74.9,75.1,6.3,1,1,78.4
89.8,92.3,7.6,0,0,83.6
75.8,75.5,6.2,1,0,81.3
66.4,100,6.7,1,0,83.9
90.2,85.2,6.7,0,1,84.8
80.4,64.7,7.2,0,1,71.2
64.6,78.5,5.7,1,0,68
73.1,72.2,7.6,0,1,78
66.2,53.7,9,1,0,75
61.2,99.2,7.7,0,1,79.4
84.3,88.4,9.3,1,2,90.8
94.1,86.4,9.1,1,0,94.2
61,82,8.4,1,0,79.9
80.6,63.4,7.6,1,0,80.1
68.5,74.2,7.5,1,0,78.8
70.1,90.1,8.4,0,2,82.9
69.1,67.4,7,1,0,75.2
66.4,49.6,5.2,1,1,61
75.5,77.3,8.1,1,2,76
66.7,78.3,6.1,1,2,69.8
77.7,81.6,6.3,0,0,80.9
74.5,88.7,7.5,1,1,79.8
72.6,87.7,7.4,1,2,83.2
65.9,83.1,5.8,1,1,74.4
69.2,94.3,7.7,1,1,82.4
82.6,61.8,8.7,0,0,73.8
80,86.1,6.1,1,0,85.7
65.2,87.5,9,1,1,83.1
76,65.1,5.6,1,1,76.5
82.5,62,10,1,2,75
58.3,71,7,1,0,69
80.4,72.1,7.7,0,2,74.1
68.4,89,5.2,1,0,76.2
80.7,72.6,7.4,1,0,81.2
67.4,69.7,7.8,1,0,76.3
57,72.7,7.4,1,0,73.1
58.7,93.4,6.8,1,0,84
75.5,80.2,6.4,0,1,72.1
77.6,77.8,8.9,0,1,81.9
66,78.7,7.5,1,1,75
81.4,95.5,9.3,1,1,94.7
58.4,71,6.9,1,0,71.8
74.3,95.8,7,1,1,83
62.9,82.5,8.5,1,1,76.4
68.5,78.1,5.6,1,1,75.3
75.5,100,6,1,2,83.3
66.4,67.3,8.8,1,0,75.5
71.2,75.8,6.1,0,0,74.9
85.1,65.2,5.3,1,0,77.9
69.2,91.4,9.7,1,1,86.2
83.4,100,5.8,1,0,87.4
63.7,100,7.7,0,1,78.1
80.3,94.7,7.6,1,0,90.3
89.4,77.6,4.1,1,2,71.8
50.3,75.6,7.2,0,0,67
67,59.9,8,1,0,75.5
80.8,100,7.9,1,0,92.1
73,85.6,8.6,1,2,80
78.7,74.1,7,0,0,83.2
69,95.9,8.4,0,2,85.2
75.9,68.3,6.7,1,0,73.7
73.4,84.9,5.8,1,1,79.4
86.7,77.9,5.9,0,0,80.7
77.5,87.7,5.7,0,2,76.2
78.4,79.2,8.7,1,0,90.9
70.9,62.6,5.7,0,2,63
70.1,80.9,7.8,1,0,81.8
70.7,92.6,7.2,1,2,82.7
78.9,79.6,7.4,1,1,85.8
70.8,89.3,9.1,1,0,90.1
77.9,67.5,7,1,0,78.7
95.8,79.7,8.2,0,2,80
83.7,72.5,7.5,1,2,77.1
71.7,89,7.3,1,0,86.4
87,80.4,10,1,0,92.7
70.9,88.3,5.8,1,0,82.7
54.6,93.1,9,1,0,87.8
64.9,88.3,8.3,0,0,76.3
56.3,83.3,6.9,1,1,77.1
71.5,68,9.5,1,0,78.7
75.2,80,5.3,1,2,76.4
91.8,73.6,6.9,0,1,80.8
78.3,75.9,6,0,0,82.1
72.8,75.5,8,0,2,73.7
83.3,68.2,6.2,1,1,75
52.9,56.5,8,1,0,66.1
77.4,72,7.3,1,0,80.3
82.7,82.3,6.9,1,1,87.3
60.2,63.8,8,0,1,67.9
86.4,80.2,7.2,1,0,93.4
78.4,100,6.2,1,0,88.4
70.8,92.3,10,1,0,90
81.3,99.7,6.9,1,0,89.4
97.7,84.7,4.8,1,0,87.9
76.8,94,6.5,1,2,83
77.5,71.3,6,0,1,73.3
70.4,72.3,8.5,1,0,79.3
66.5,47.1,7.9,0,1,60.4
83.3,94.2,8,1,0,89.3
66.4,98.5,7.1,0,0,81
75.7,73.4,7.2,1,2,78.4
70.2,77,7.1,1,0,82.1
79.8,71,7.4,1,0,79.9
78.3,84.6,8.5,1,1,83.4
85.4,93.5,7.9,0,0,89.1
69.9,59.1,8.1,1,2,75.1
72.3,84.9,8.1,1,0,87.1
65.2,76.7,8.6,1,0,80.5
70.6,81.4,7.8,1,2,80.3
78.8,85.5,7.9,1,1,90.2
82.6,77.7,8.9,1,0,83.5
65.8,78.8,6.7,0,2,68
83.7,77.4,6.5,0,1,76.8
88.6,91.6,6.1,0,2,84
79.1,85,7.7,1,0,86.6
93.8,82.6,5.3,1,2,84.4
67.3,64.7,8.1,1,2,68.4
62.6,75.5,7.4,1,2,75.1
57.2,90.8,8.9,1,0,81.7
90,80.5,6.7,1,0,88.6
81.5,87.9,7.3,0,2,83.9
74.4,100,8.8,0,0,92.8
77.8,92.5,9.2,1,2,88.5
63.7,81.1,6.7,1,1,77.8
99.5,73.9,7.7,1,1,94
76.3,49.4,7.9,1,0,72.5
76.1,78,7.9,1,0,80.3
82.3,76.1,7.2,1,2,80.5
79.8,84.7,9,1,2,84.8
77.2,78.2,5.2,1,1,69.6
67.1,76.2,7,0,2,70.7
79.7,58.6,8,0,0,73.8
93.8,68.7,8,0,2,82.6
88.5,85.7,9.1,1,2,86.7
90.9,100,8.9,1,2,90.7
69.9,78.8,7.2,0,2,72.3
65.1,83.9,9.1,1,0,83.9
73.7,91.4,6.6,0,0,81.6
75.6,70.3,8.6,1,0,80.6
85.9,84.4,9.7,1,0,89.3
58.1,71.1,9,1,0,74.2
90.3,90.4,7.6,1,1,90.5
73.4,81.8,7.1,0,0,81.5
70.7,83.6,5.7,1,1,78.2
64.9,70.6,7.9,0,0,71.1
58.5,88.5,6.2,0,0,78.3
83.2,100,6.5,0,0,87.6
75.7,67.9,6.1,1,0,76.3
62.1,75.9,6.9,1,1,72.6
62,82.8,7.5,1,0,82.8
71.6,89.4,7.8,1,0,85.3
91.7,73.3,6.8,0,1,80.9
72.4,46,8.8,1,0,69.5
60,96.3,7.3,1,0,82.6
72.5,89.1,6.6,1,0,86.4
72.3,59.1,7.8,1,0,75.6
48,72.7,9.9,0,0,70.1
74.5,98.8,7.9,0,0,92.2
72.7,97.4,7.1,1,1,88.8
82,91.3,5.7,0,1,80.3
93.5,77.9,7.2,0,0,80.9
86.3,81,7.8,1,0,86.2
72.3,78.4,7,1,0,80.6
63.9,93.5,5.5,1,2,76.8
100,69.5,6.5,1,0,89.8
75.6,70.3,9.2,1,1,77.6
75.1,92.1,9.2,0,2,82
74.8,79.5,6.4,1,0,76
77,96.5,8.3,1,2,83
73.6,71.9,6.1,0,0,70.5
69.3,79.3,9.2,0,0,80.9
69.5,68.9,7.8,1,0,78.3
74.7,80.1,8.6,1,0,81.3
69.6,62.3,5.4,0,2,59.2
67.9,74.1,8.3,1,2,69.1
76.1,62.8,7.5,1,0,76.2
72.5,88.3,8.5,1,1,83.2
90,88.6,8.6,1,0,98.6
48.5,59.2,7.6,1,0,64.5
85.9,96,6.8,1,0,90.8
87.5,100,8.4,1,2,90.9
54.3,80.6,7.4,0,1,65.3
71.6,72.3,6.5,0,2,64.4
71.3,100,6.4,1,1,83.4
60.9,64.2,5.7,1,0,64.4
67.2,80.2,6.9,1,0,74.8
63.9,82.2,8.8,1,2,78.2
92.5,96.1,7.7,0,2,90.4
84.4,84.3,6.9,0,0,81.8
87.7,74,8.5,1,1,91.4
82.2,68.6,6.5,1,0,73.1
63.7,75.9,7.6,1,0,76.2
69.8,67.9,7.3,1,2,70
79.9,80.6,8.4,1,2,80.4
62.8,73.2,5.6,0,0,65.5
82.1,62.1,6.5,1,0,75.6
72.6,95.1,5.5,1,0,82.5
71.3,74,7.2,1,2,72.3
82.1,64.8,9,0,2,70.8
79.4,78,6.9,1,2,72.9
71.4,80.8,6.9,1,0,78.8
86.6,59,8.5,0,1,75.1
64.2,84,8.8,1,1,80.2
81.2,67.4,7.4,1,0,78.9
80.9,100,8.3,0,0,89.4
71.9,86.3,6.2,1,0,80.1
78.3,75.2,9.2,1,0,82.1
62.5,71.1,10,1,1,82
84.2,78.7,8.1,1,2,80
73.2,87.4,5,1,1,77.1
69.8,79.7,6.8,0,0,73.3
85.5,77.4,8.2,0,2,77.4
68,80.7,7,0,0,75.5
60.9,72.8,9,1,0,76.2
59.4,75.9,8.2,1,2,70.2
81.1,55,6.7,0,0,68.9
62.2,91.7,7.5,1,2,75.5
92.5,83.6,6.4,1,2,85.5
54.2,70.7,7.3,0,1,71.7
92,100,6.8,1,0,92.8
77.1,81,8.9,1,2,83.3
74,67.6,10,1,1,80.8
69.6,90.3,5.8,1,1,81.5
79,84.8,5.2,1,2,79
74.6,84.7,7.2,1,2,79.8
86,74.9,5.7,1,0,80.6
76.1,85.4,7.6,1,2,79.4
76.5,76.9,8.4,1,2,76.8
71.4,86.7,9.3,0,2,79.5
74.4,57.1,7.7,1,2,65.3
78.1,74.8,7.3,1,0,78.9
57.9,100,5.1,0,0,78.7
61.5,70.8,7.5,1,2,69.3
82.4,72.8,7.6,0,0,81.9
76.7,74.6,8.3,1,0,86.5
73.2,65.4,6.6,0,0,70.2
75.2,53.5,7,0,0,68.1
78.5,77.2,5.7,1,1,76.8
69.6,81.6,4.8,1,2,68.6
67.2,79.4,6.2,0,0,70.1
77,78.3,5.6,1,0,80.8
65.2,80.5,7.9,0,0,76.7
